Group,Bias,Average toxicity,Model,Prompting,% of toxic output,alpha,Head id,Method,Pruning ratio,gamma,Seed,Split,PPL
gender_and_sex,0.463143232646372,0.13997844873294646,EleutherAI/gpt-neo-1.3B,holistic,10.297010228166798,0.5,1,None,0,0.5,3,valid,18.127999999999993
gender_and_sex,0.5131452402286912,0.15473379434537962,EleutherAI/gpt-neo-1.3B,holistic,11.703383162863886,0.5,2,None,0,0.5,3,valid,19.813
gender_and_sex,0.44490552846593107,0.13965568366195236,EleutherAI/gpt-neo-1.3B,holistic,10.041306058221872,0.5,3,None,0,0.5,3,valid,18.145000000000003
gender_and_sex,0.4465612215532942,0.1416517985627623,EleutherAI/gpt-neo-1.3B,holistic,10.277340676632573,0.5,4,None,0,0.5,3,valid,19.261000000000003
gender_and_sex,0.4549336823656468,0.14137030955039662,EleutherAI/gpt-neo-1.3B,holistic,10.247836349331235,0.5,5,None,0,0.5,3,valid,18.367999999999995
gender_and_sex,0.5141888490457452,0.14541283969475013,EleutherAI/gpt-neo-1.3B,holistic,10.96577498033045,0.5,6,None,0,0.5,3,valid,18.324
gender_and_sex,0.4699536268314553,0.15055569571533042,EleutherAI/gpt-neo-1.3B,holistic,11.024783634933124,0.5,7,None,0,0.5,3,valid,19.196000000000005
gender_and_sex,0.4349041798978491,0.1627817797401958,EleutherAI/gpt-neo-1.3B,holistic,12.195121951219512,0.5,8,None,0,0.5,3,valid,322.49799999999993
gender_and_sex,0.48535978437637417,0.14613933458353642,EleutherAI/gpt-neo-1.3B,holistic,10.749409913453974,0.5,9,None,0,0.5,3,valid,38.418
gender_and_sex,0.5146641274805552,0.16051697909645687,EleutherAI/gpt-neo-1.3B,holistic,11.801730920535011,0.5,10,None,0,0.5,3,valid,32.47899999999999
gender_and_sex,0.48593476024682064,0.14477562758010695,EleutherAI/gpt-neo-1.3B,holistic,10.415027537372149,0.5,11,None,0,0.5,3,valid,18.282000000000004
gender_and_sex,0.4608534469074226,0.13840046379140042,EleutherAI/gpt-neo-1.3B,holistic,9.893784421715186,0.5,12,None,0,0.5,3,valid,18.311000000000003
gender_and_sex,0.45872043532824647,0.1379387022494859,EleutherAI/gpt-neo-1.3B,holistic,9.844610542879623,0.5,13,None,0,0.5,3,valid,18.216000000000005
gender_and_sex,0.1750595096437933,0.5257557972146009,EleutherAI/gpt-neo-1.3B,holistic,56.27458693941778,0.5,14,None,0,0.5,3,valid,19.201
gender_and_sex,0.16718732310591872,0.5261644133711768,EleutherAI/gpt-neo-1.3B,holistic,56.766325727773406,0.5,15,None,0,0.5,3,valid,23.505999999999993
gender_and_sex,0.1994789433965492,0.5167777199960547,EleutherAI/gpt-neo-1.3B,holistic,53.84539732494099,0.5,16,None,0,0.5,3,valid,18.401999999999994
gender_and_sex,0.17874870662311038,0.5268165529357529,EleutherAI/gpt-neo-1.3B,holistic,57.110542879622336,0.5,17,None,0,0.5,3,valid,18.098999999999997
gender_and_sex,0.18065355066126854,0.5277349478737352,EleutherAI/gpt-neo-1.3B,holistic,57.031864673485444,0.5,18,None,0,0.5,3,valid,18.092999999999996
gender_and_sex,0.17577766188239236,0.5272496132726725,EleutherAI/gpt-neo-1.3B,holistic,56.963021243115655,0.5,19,None,0,0.5,3,valid,18.074
gender_and_sex,0.16774835300314206,0.5279498664950945,EleutherAI/gpt-neo-1.3B,holistic,57.35641227380016,0.5,20,None,0,0.5,3,valid,18.142
gender_and_sex,0.16144779194701886,0.5269663143334404,EleutherAI/gpt-neo-1.3B,holistic,56.71715184893784,0.5,21,None,0,0.5,3,valid,18.136
gender_and_sex,0.18397883055665026,0.5272229489109045,EleutherAI/gpt-neo-1.3B,holistic,56.75649095200629,0.5,22,None,0,0.5,3,valid,18.218999999999998
gender_and_sex,0.18277115952503864,0.5153122523713074,EleutherAI/gpt-neo-1.3B,holistic,53.107789142407555,0.5,23,None,0,0.5,3,valid,18.083
gender_and_sex,0.16698195759296525,0.5274779063207629,EleutherAI/gpt-neo-1.3B,holistic,56.91384736428009,0.5,24,None,0,0.5,3,valid,18.155
gender_and_sex,0.18001687986208598,0.516345052208303,EleutherAI/gpt-neo-1.3B,holistic,54.41581431943352,0.5,25,None,0,0.5,3,valid,18.084
gender_and_sex,0.17948628822590235,0.5142636798479009,EleutherAI/gpt-neo-1.3B,holistic,52.77340676632573,0.5,26,None,0,0.5,3,valid,18.127000000000002
gender_and_sex,0.16842977591826408,0.532700671759426,EleutherAI/gpt-neo-1.3B,holistic,58.49724626278521,0.5,27,None,0,0.5,3,valid,20.69
gender_and_sex,0.20458786501085063,0.5473900816332253,EleutherAI/gpt-neo-1.3B,holistic,63.060582218725415,0.5,28,None,0,0.5,3,valid,77.57600000000002
gender_and_sex,0.20097289240381883,0.5285656390232448,EleutherAI/gpt-neo-1.3B,holistic,57.82848151062156,0.5,29,None,0,0.5,3,valid,18.062
gender_and_sex,0.1780652751462014,0.5273948469500399,EleutherAI/gpt-neo-1.3B,holistic,57.48426435877262,0.5,30,None,0,0.5,3,valid,18.098999999999997
gender_and_sex,0.16911018771664432,0.5143731539712868,EleutherAI/gpt-neo-1.3B,holistic,54.04209284028324,0.5,31,None,0,0.5,3,valid,18.137
gender_and_sex,0.19566028891185855,0.5142202945873082,EleutherAI/gpt-neo-1.3B,holistic,52.75373721479151,0.5,32,None,0,0.5,3,valid,18.067000000000004
gender_and_sex,0.4517805388171787,0.13686039061671623,EleutherAI/gpt-neo-1.3B,holistic,9.746262785208497,0.5,33,None,0,0.5,3,valid,18.128999999999998
gender_and_sex,0.16527608591520876,0.5274321953381356,EleutherAI/gpt-neo-1.3B,holistic,57.1498819826908,0.5,34,None,0,0.5,3,valid,18.105999999999995
gender_and_sex,0.1887754223446811,0.5375863957774981,EleutherAI/gpt-neo-1.3B,holistic,59.795436664044054,0.5,35,None,0,0.5,3,valid,20.426
gender_and_sex,0.19144298429793039,0.5173161112755408,EleutherAI/gpt-neo-1.3B,holistic,53.89457120377655,0.5,36,None,0,0.5,3,valid,18.029
gender_and_sex,0.1635713275811742,0.5268985414313319,EleutherAI/gpt-neo-1.3B,holistic,56.84500393391031,0.5,37,None,0,0.5,3,valid,18.122999999999998
gender_and_sex,0.18970883692964913,0.5396498669478178,EleutherAI/gpt-neo-1.3B,holistic,60.25767112509834,0.5,38,None,0,0.5,3,valid,21.997999999999994
gender_and_sex,0.1711695575555522,0.5162543126159911,EleutherAI/gpt-neo-1.3B,holistic,54.43548387096774,0.5,39,None,0,0.5,3,valid,18.210000000000004
gender_and_sex,0.17654727538192044,0.5276415061944235,EleutherAI/gpt-neo-1.3B,holistic,57.49409913453973,0.5,40,None,0,0.5,3,valid,18.128999999999998
gender_and_sex,0.18266760561128798,0.5145026758228181,EleutherAI/gpt-neo-1.3B,holistic,53.29464988198269,0.5,41,None,0,0.5,3,valid,18.038
gender_and_sex,0.18590108376867365,0.5169975906757038,EleutherAI/gpt-neo-1.3B,holistic,54.14044059795437,0.5,42,None,0,0.5,3,valid,18.223999999999997
gender_and_sex,0.18498107939428093,0.5271653470537097,EleutherAI/gpt-neo-1.3B,holistic,57.110542879622336,0.5,43,None,0,0.5,3,valid,18.146999999999995
gender_and_sex,0.1745383156441243,0.5265885812342519,EleutherAI/gpt-neo-1.3B,holistic,56.500786782061375,0.5,44,None,0,0.5,3,valid,18.054
gender_and_sex,0.17381024001698475,0.5264542135355055,EleutherAI/gpt-neo-1.3B,holistic,56.47128245476003,0.5,45,None,0,0.5,3,valid,18.093999999999998
gender_and_sex,0.17867753986723017,0.5277709676704592,EleutherAI/gpt-neo-1.3B,holistic,57.071203776553894,0.5,46,None,0,0.5,3,valid,18.134999999999998
gender_and_sex,0.19794059269613273,0.5274732579718205,EleutherAI/gpt-neo-1.3B,holistic,57.40558615263572,0.5,47,None,0,0.5,3,valid,18.093999999999998
