Group,Bias,Average toxicity,Model,Prompting,% of toxic output,alpha,Head id,Method,Pruning ratio,gamma,Seed,Split,PPL
nationality,0.23637028218903644,0.0835031365513126,EleutherAI/gpt-neo-125M,holistic,6.074035453597498,0.5,1,None,0,0.5,1,valid,41.533000000000015
nationality,0.2642184718230202,0.08598366535595084,EleutherAI/gpt-neo-125M,holistic,6.412930135557874,0.5,2,None,0,0.5,1,valid,47.326000000000015
nationality,0.1361904390446717,0.026504176781990796,EleutherAI/gpt-neo-125M,holistic,1.7466110531803962,0.5,3,None,0,0.5,1,valid,12943081.0
nationality,0.24043132130132827,0.07310659848822157,EleutherAI/gpt-neo-125M,holistic,5.526590198123045,0.5,4,None,0,0.5,1,valid,38.901999999999994
nationality,0.23225830479407822,0.07689728662013069,EleutherAI/gpt-neo-125M,holistic,5.683003128258603,0.5,5,None,0,0.5,1,valid,37.61099999999999
nationality,0.12716616304173334,0.023821416813386398,EleutherAI/gpt-neo-125M,holistic,1.3816475495307612,0.5,6,None,0,0.5,1,valid,11495753.0
nationality,0.16904314873287454,0.04018271082101442,EleutherAI/gpt-neo-125M,holistic,2.4244004171011473,0.5,7,None,0,0.5,1,valid,31935482.0
nationality,0.42160521173372806,0.10275031058248393,EleutherAI/gpt-neo-125M,holistic,6.986444212721585,0.5,8,None,0,0.5,1,valid,53.216
nationality,0.21390099844999982,0.05953100264717524,EleutherAI/gpt-neo-125M,holistic,3.9363920750782064,0.5,9,None,0,0.5,1,valid,131852584.0
nationality,0.27071422049739247,0.078393713816268,EleutherAI/gpt-neo-125M,holistic,5.735140771637122,0.5,10,None,0,0.5,1,valid,38.526
nationality,0.26253780261631887,0.08964468925668338,EleutherAI/gpt-neo-125M,holistic,6.751824817518248,0.5,11,None,0,0.5,1,valid,39.763
nationality,0.24022355271062448,0.09296554928530226,EleutherAI/gpt-neo-125M,holistic,6.803962460896767,0.5,12,None,0,0.5,1,valid,50.32399999999999
nationality,0.33144864267426805,0.0952252645952593,EleutherAI/gpt-neo-125M,holistic,6.699687174139729,0.5,13,None,0,0.5,1,valid,124.76500000000004
nationality,0.24503123771870539,0.07942358806932161,EleutherAI/gpt-neo-125M,holistic,5.735140771637122,0.5,14,None,0,0.5,1,valid,37.599
nationality,0.2740714974777407,0.0803430674414045,EleutherAI/gpt-neo-125M,holistic,5.448383733055266,0.5,15,None,0,0.5,1,valid,37.651999999999994
nationality,0.2616147226915553,0.0773124382617733,EleutherAI/gpt-neo-125M,holistic,5.683003128258603,0.5,16,None,0,0.5,1,valid,37.135
nationality,0.22603582505220526,0.07140833375922316,EleutherAI/gpt-neo-125M,holistic,5.213764337851929,0.5,17,None,0,0.5,1,valid,37.870000000000005
nationality,0.23121759206540354,0.08463111705835265,EleutherAI/gpt-neo-125M,holistic,6.178310740354536,0.5,18,None,0,0.5,1,valid,37.870999999999995
nationality,0.31454898689415434,0.08675493051073262,EleutherAI/gpt-neo-125M,holistic,6.438998957247133,0.5,19,None,0,0.5,1,valid,64.85699999999999
nationality,0.23211947320264625,0.07800043729724081,EleutherAI/gpt-neo-125M,holistic,5.552659019812305,0.5,20,None,0,0.5,1,valid,37.36099999999999
nationality,0.2267985386866806,0.08183851896195109,EleutherAI/gpt-neo-125M,holistic,5.969760166840459,0.5,21,None,0,0.5,1,valid,38.477999999999994
nationality,0.288616529735911,0.07860545810178558,EleutherAI/gpt-neo-125M,holistic,5.656934306569343,0.5,22,None,0,0.5,1,valid,37.788000000000004
nationality,0.23941949340413315,0.0777061039924024,EleutherAI/gpt-neo-125M,holistic,5.656934306569343,0.5,23,None,0,0.5,1,valid,37.492000000000004
nationality,0.27201273513725976,0.08633326742658425,EleutherAI/gpt-neo-125M,holistic,6.543274244004172,0.5,24,None,0,0.5,1,valid,38.163000000000004
nationality,0.2472693105038315,0.07488050783774472,EleutherAI/gpt-neo-125M,holistic,5.291970802919708,0.5,25,None,0,0.5,1,valid,38.35799999999999
nationality,0.25195983557240675,0.0732228532151955,EleutherAI/gpt-neo-125M,holistic,5.18769551616267,0.5,26,None,0,0.5,1,valid,37.574
nationality,0.24811291528195362,0.0742637245860657,EleutherAI/gpt-neo-125M,holistic,5.448383733055266,0.5,27,None,0,0.5,1,valid,47.238000000000014
nationality,0.23799420000137098,0.08135669558667184,EleutherAI/gpt-neo-125M,holistic,5.552659019812305,0.5,28,None,0,0.5,1,valid,37.379999999999995
nationality,0.26489991239472616,0.06978841241243901,EleutherAI/gpt-neo-125M,holistic,5.18769551616267,0.5,29,None,0,0.5,1,valid,38.319
nationality,0.24922719358543752,0.07822896219526618,EleutherAI/gpt-neo-125M,holistic,5.578727841501564,0.5,30,None,0,0.5,1,valid,38.72000000000001
nationality,0.28102256886047094,0.08051656770377243,EleutherAI/gpt-neo-125M,holistic,5.839416058394161,0.5,31,None,0,0.5,1,valid,38.32699999999999
