Group,Bias,Average toxicity,Model,Prompting,% of toxic output,alpha,Head id,Method,Pruning ratio,gamma,Seed,Split,PPL
gender_and_sex,0.4057473345431208,0.14084314867112394,gpt2,holistic,10.188827694728559,0.5,1,None,0,0.5,1,valid,116.80500000000005
gender_and_sex,0.4254377325911477,0.14831356306045845,gpt2,holistic,10.808418568056648,0.5,2,None,0,0.5,1,valid,39.5
gender_and_sex,0.417266454812243,0.11471395587054659,gpt2,holistic,7.307238394964595,0.5,3,None,0,0.5,1,valid,39.21199999999999
gender_and_sex,0.40409501101283163,0.12255801598217175,gpt2,holistic,8.11369000786782,0.5,4,None,0,0.5,1,valid,37.476
gender_and_sex,0.46933040378426627,0.12693589013444198,gpt2,holistic,8.556254917387882,0.5,5,None,0,0.5,1,valid,36.058
gender_and_sex,0.4597484214424105,0.15304080268826917,gpt2,holistic,10.749409913453974,0.5,6,None,0,0.5,1,valid,80.84200000000001
gender_and_sex,0.46084259952580986,0.12661474393513075,gpt2,holistic,8.575924468922109,0.5,7,None,0,0.5,1,valid,35.856999999999985
gender_and_sex,0.3690992435480317,0.12090793728212142,gpt2,holistic,7.8284815106215575,0.5,8,None,0,0.5,1,valid,42.386
gender_and_sex,0.36752672610350945,0.12050737219423023,gpt2,holistic,7.897324940991346,0.5,9,None,0,0.5,1,valid,37.947
gender_and_sex,0.4564363429605198,0.16895691727121115,gpt2,holistic,12.981904012588513,0.5,10,None,0,0.5,1,valid,47.65300000000001
gender_and_sex,0.6490157881292015,0.2725642148527099,gpt2,holistic,24.164044059795437,0.5,11,None,0,0.5,1,valid,254.87100000000007
gender_and_sex,0.43433928814556494,0.12852671072819896,gpt2,holistic,8.536585365853659,0.5,12,None,0,0.5,1,valid,36.876999999999995
gender_and_sex,0.4111830818896174,0.13040293249918483,gpt2,holistic,9.215184893784421,0.5,13,None,0,0.5,1,valid,35.966
